Data,ID Produto,Descrição,Número de Lotes a Comprar,Tamanho do Lote,Total de Produtos a Comprar,Estoque Anterior,Produtos que Chegaram,Previsão de Demanda,Estoque após Atender,Custo de Compra
04/06/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10053.0,0.0,0,10053.0,0.0
04/06/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
04/06/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,-0.0,0,58545.0,0.0
11/06/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10053.0,0.0,0,10053.0,0.0
11/06/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
11/06/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,58545.0,0.0,0,58545.0,0.0
18/06/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,7.0,6000,42000.0,10053.0,0.0,0,10053.0,76500.0
18/06/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
18/06/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,-0.0,0,58545.0,0.0
25/06/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10053.0,0.0,0,10053.0,0.0
25/06/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
25/06/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,58545.0,0.0,0,58545.0,0.0
02/07/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10053.0,0.0,0,10053.0,0.0
02/07/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,102883.0,0.0,0,102883.0,0.0
02/07/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,58545.0,-0.0,0,58545.0,0.0
